"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"TGS1",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"THADA",5,4,4,4,1,1,0,0
"THAP1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"THAP11",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"THAP12",2,2,1,2,1,0.451603012346455,-1.1468729854753,0
"THAP3",2,3,2,2,1,1,0,4.82163733276644e-17
"THAP4",3,9,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"THAP5",1,1,1,1,1,1,0,0
"THAP6",4,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"THAP7",7,8,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"THAP8",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"THBS3",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"THBS4",1,0,1,0,1,Inf,Inf,0
"THEM4",6,9,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"THEM6",1,1,1,1,1,1,0,0
"THEMIS",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"THEMIS2",7,8,4,5,1,0.619687542666112,-0.690387128214864,0
"THG1L",1,0,1,0,1,Inf,Inf,0
"THOC1",7,3,6,2,0.131934731934732,7.61355555815879,2.92857035493369,0.879640860996452
"THOC2",13,21,7,8,1,0,-Inf,0
"THOC3",2,6,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"THOC3;LOC100996385",1,1,1,1,1,1,0,0
"THOC7",3,5,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"THOP1",4,4,3,4,1,0.619687542666112,-0.690387128214864,0
"THRA",3,5,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"THRAP3",17,25,6,8,0.466666666666667,0,-Inf,0.330993219041424
"THUMPD1",6,7,4,4,1,1,0,0
"THUMPD3",4,3,3,3,1,1,0,4.82163733276644e-17
"THYN1",7,5,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"TIA1",5,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"TIAF1",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TIAL1",1,5,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"TIAM1",5,15,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TIAM2",1,0,1,0,1,Inf,Inf,0
"TICAM1",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"TIFA",6,6,4,5,1,0.619687542666112,-0.690387128214864,0
"TIGD1",5,3,3,3,1,1,0,4.82163733276644e-17
"TIGD2",2,0,1,0,1,Inf,Inf,0
"TIGD7",1,0,1,0,1,Inf,Inf,0
"TIGIT",11,12,5,5,1,1,0,4.82163733276644e-17
