"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ALOX5AP",4,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"AMBRA1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AMD1",1,0,1,0,1,Inf,Inf,0
"AMIGO2",1,1,1,1,1,1,0,0
"AMMECR1",1,0,1,0,1,Inf,Inf,0
"AMPD2",1,1,1,1,1,1,0,0
"AMT",1,0,1,0,1,Inf,Inf,0
"AMZ2",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ANAPC11",1,0,1,0,1,Inf,Inf,0
"ANAPC16",1,1,1,1,1,1,0,0
"ANAPC5",14,8,4,5,1,0.619687542666112,-0.690387128214864,0
"ANAPC7",5,1,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ANK1",1,0,1,0,1,Inf,Inf,0
"ANKDD1A",1,0,1,0,1,Inf,Inf,0
"ANKFY1",1,0,1,0,1,Inf,Inf,0
"ANKHD1;ANKHD1-EIF4EBP3",5,4,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANKIB1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ANKLE2",1,0,1,0,1,Inf,Inf,0
"ANKMY1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANKRD10",4,7,3,4,1,0.619687542666112,-0.690387128214864,0
"ANKRD11",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ANKRD12",14,15,7,6,1,2.21433421093487,1.1468729854753,0
"ANKRD17",4,3,4,3,1,1.61371647991769,0.690387128214865,0
"ANKRD26",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANKRD27",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANKRD36",7,12,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ANKRD36B",2,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ANKRD39",1,0,1,0,1,Inf,Inf,0
"ANKRD40",1,0,1,0,1,Inf,Inf,0
"ANKRD44",5,3,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANKRD49",2,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANKS3",1,1,1,1,1,1,0,0
"ANKZF1",2,5,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ANO9",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ANTXR2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANXA11",2,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANXA2",3,10,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ANXA2R",1,1,1,1,1,1,0,0
"ANXA5",2,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ANXA6",9,8,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ANXA7",5,4,3,4,1,0.619687542666112,-0.690387128214864,0
"AOPEP",1,0,1,0,1,Inf,Inf,0
"AP1B1",2,2,2,2,1,1,0,4.82163733276644e-17
"AP1G1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AP1G2",8,14,5,5,1,1,0,4.82163733276644e-17
"AP1M1",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AP2A1",1,0,1,0,1,Inf,Inf,0
"AP2A2",1,4,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"AP2M1",4,7,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"AP3B1",6,6,5,2,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"AP3M1",1,0,1,0,1,Inf,Inf,0
"AP3M2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AP3S1",1,1,1,1,1,1,0,0
