"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ADAT2",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ADCY4",3,3,2,1,1,2.21433421093488,1.1468729854753,0
"ADCY6",1,0,1,0,1,Inf,Inf,0
"ADCY7",2,2,2,2,1,1,0,4.82163733276644e-17
"ADD1",4,1,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ADD2",1,0,1,0,1,Inf,Inf,0
"ADD3",8,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ADGRE5",8,8,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ADGRF5",4,3,2,1,1,2.21433421093488,1.1468729854753,0
"ADGRG1",2,3,1,1,1,1,0,0
"ADGRL4",1,0,1,0,1,Inf,Inf,0
"ADH1B",1,2,1,1,1,1,0,0
"ADH5",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ADI1",1,0,1,0,1,Inf,Inf,0
"ADIPOR2",1,0,1,0,1,Inf,Inf,0
"ADNP",1,1,1,1,1,1,0,0
"ADPGK",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ADPRHL2",1,0,1,0,1,Inf,Inf,0
"ADRB2",2,0,1,0,1,Inf,Inf,0
"ADRM1",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ADSL",1,1,1,1,1,1,0,0
"AEBP1",1,1,1,1,1,1,0,0
"AFAP1L1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AFF1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AFF4",1,5,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AFG1L",1,1,1,1,1,1,0,0
"AFTPH",3,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"AGA",1,0,1,0,1,Inf,Inf,0
"AGAP2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AGGF1",2,0,1,0,1,Inf,Inf,0
"AGK",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AGL",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AGO2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AGTR1",2,0,1,0,1,Inf,Inf,0
"AGTRAP",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AHCTF1",1,1,1,1,1,1,0,0
"AHCYL1",1,0,1,0,1,Inf,Inf,0
"AHNAK",29,34,8,8,1,0,-Inf,0
"AHR",1,1,1,1,1,1,0,0
"AHSA2P",1,0,1,0,1,Inf,Inf,0
"AIF1",1,0,1,0,1,Inf,Inf,0
"AIFM1",1,0,1,0,1,Inf,Inf,0
"AIMP1",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"AIMP2",1,0,1,0,1,Inf,Inf,0
"AIP",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AK2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKAP1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKAP10",1,1,1,1,1,1,0,0
"AKAP11",1,0,1,0,1,Inf,Inf,0
"AKAP13",7,8,4,5,1,0.619687542666112,-0.690387128214864,0
"AKAP2;PALM2-AKAP2",5,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"AKAP5",1,0,1,0,1,Inf,Inf,0
"AKAP8",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKAP8L",1,1,1,1,1,1,0,0
"AKAP9",7,8,4,4,1,1,0,0
"AKIRIN1",1,0,1,0,1,Inf,Inf,0
"AKIRIN2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKNA",5,3,4,3,1,1.61371647991769,0.690387128214865,0
