"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000250563","KNOP1P5",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250565","ATP6V1E2",5,10,2,5,0.602451846395064,0.670123567085585,-0.57750094978768,0.220077660256265
"ENSG00000250568","RP11",18,24,6,8,1,1.00955702493242,0.0137224037487896,0
"ENSG00000250569","NTAN1P2",13,26,5,8,0.254019822335804,0.665359700426789,-0.587793607318672,0.595132392060535
"ENSG00000250571","GLI4",4,23,3,8,0.00273025991808603,0.228792732873929,-2.12788686625554,2.5637960065793
"ENSG00000250574","CTD",5,6,3,4,1,1.12237936071379,0.166560384785313,0
"ENSG00000250575","RP4",12,10,4,6,0.281743686524238,1.62746692428847,0.702628223175927,0.550145807095186
"ENSG00000250588","IQCJ",2,4,1,1,1,0.671875237176059,-0.573734736017658,0
"ENSG00000250591","PRSS3P1",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250596","RP11",7,1,4,1,0.0241680062136357,9.51135358931032,3.24965066996315,1.61675917607691
"ENSG00000250602","RP11",5,7,4,5,1,0.960877895126552,-0.0575749846873068,0
"ENSG00000250614","AC007078",1,5,1,4,0.248077357757435,0.268063035001437,-1.89935580468626,0.605412872365203
"ENSG00000250644","RP11",4,4,2,4,0.729664769249684,1.34781200874662,0.430619285123319,0.136876622487679
"ENSG00000250651","PABPC1P7",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250654","RP11",2,3,2,3,1,0.896800059019217,-0.157141721798964,0
"ENSG00000250673","RP11",2,0,2,0,0.181561126292028,Inf,Inf,0.74097713182864
"ENSG00000250682","LINC00491",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250685","RP11",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250687","RP11",8,41,3,8,9.54094175782868e-05,0.252237649285872,-1.9871444648035,4.02040875527054
"ENSG00000250693","RPF2P2",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250705","CTC",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250714","RP11",33,32,6,8,0.198585913564974,1.41129762393828,0.497022265257141,0.702051560865666
"ENSG00000250725","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250731","TPM3P6",7,14,3,5,0.506043666784793,0.668945360566449,-0.580039718488591,0.295812006034832
