"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.0387895249808993,-0.309635764226362,0.121,0.079,1,"ENSG00000091140-DLD",1.41128553876647
0.0396828395959347,0.43052675553821,0.139,0.098,1,"ENSG00000126012-KDM5C",1.40139725847549
0.0398511459587182,0.271427860968194,0.111,0.074,1,"ENSG00000161021-MAML1",1.39955918552528
0.0410946717433151,0.443063724973997,0.114,0.076,1,"ENSG00000184677-ZBTB40",1.38621448426715
0.0416324009517598,-0.352064153489345,0.17,0.219,1,"ENSG00000084072-PPIE",1.38056854251142
0.0435147327875029,0.367516465967972,0.226,0.182,1,"ENSG00000213930-GALT",1.36136367902134
0.0451308477185583,0.274653162766014,0.16,0.118,1,"ENSG00000108963-DPH1",1.34552650880127
0.0452450566066908,0.27522914926407,0.165,0.123,1,"ENSG00000067057-PFKP",1.34442886409887
0.0458210508989894,-0.543802706949212,0.147,0.189,1,"ENSG00000271895-RP4-635E18.8",1.33893495455303
0.0460557775721936,-0.305071431976594,0.15,0.103,1,"ENSG00000101040-ZMYND8",1.33671588098653
0.0479430996992043,0.332226681430767,0.291,0.241,1,"ENSG00000058668-ATP2B4",1.31927389064569
0.0482037847291374,-0.467701741684517,0.21,0.157,1,"ENSG00000065809-FAM107B",1.3169188617103
0.048533911576706,0.268615669178369,0.116,0.079,1,"ENSG00000125910-S1PR4",1.31395470543475
0.051024431867526,0.35645489340899,0.124,0.088,1,"ENSG00000213380-COG8",1.29222182224486
0.0517441227571661,0.250309591714825,0.107,0.071,1,"ENSG00000134440-NARS",1.2861389714572
0.0522521753589514,0.26266544887228,0.147,0.106,1,"ENSG00000144749-LRIG1",1.28189562432269
0.0524017194081629,0.281991809384175,0.278,0.224,1,"ENSG00000219481-NBPF1",1.28065446268753
0.0524145914621419,0.252593920189923,0.126,0.088,1,"ENSG00000100888-CHD8",1.28054779489898
0.0531234147277297,-0.692604334063258,0.213,0.258,1,"ENSG00000187446-CHP1",1.27471401666439
0.0533289273734143,0.251871212182555,0.112,0.076,1,"ENSG00000179454-KLHL28",1.27303715137229
0.0550406411690675,-0.286680402802475,0.283,0.219,1,"ENSG00000123124-WWP1",1.25931651564162
0.0568702127337978,-0.364787856350643,0.255,0.3,1,"ENSG00000128335-APOL2",1.24511514718406
0.0578849439032268,-0.50076132929954,0.496,0.501,1,"ENSG00000198938-MT-CO3",1.23743438325106
0.0618858695927374,-0.580319522147794,0.159,0.201,1,"ENSG00000051108-HERPUD1",1.20840850216649
0.064337730144947,-0.348345296039957,0.349,0.285,1,"ENSG00000162704-ARPC5",1.19153426520765
0.0666436007609293,-0.333582125301224,0.131,0.17,1,"ENSG00000105404-RABAC1",1.17624154598969
0.0677951990267682,-0.281868235688163,0.134,0.096,1,"ENSG00000036257-CUL3",1.16880105996785
0.0678233634960605,0.270236643406191,0.104,0.071,1,"ENSG00000079785-DDX1",1.16862067649309
0.0680151745939864,-0.288504973517534,0.165,0.206,1,"ENSG00000255594-Z82188.1",1.16739418277586
0.069914446196368,-0.270963954069708,0.15,0.108,1,"ENSG00000173230-GOLGB1",1.15543307811492
0.0705774989606182,0.388866740230137,0.145,0.108,1,"ENSG00000176986-SEC24C",1.15133373570186
0.0707021902123663,0.263641344322404,0.202,0.16,1,"ENSG00000170581-STAT2",1.15056713242076
0.0773362813958052,-0.361364755932481,0.121,0.084,1,"ENSG00000119801-YPEL5",1.11161671418833
0.0784151941820164,0.45798177661555,0.212,0.174,1,"ENSG00000131378-RFTN1",1.10559977774848
0.079302587980216,-0.464866890835698,0.076,0.106,1,"ENSG00000165476-REEP3",1.10071263957789
0.0801770214111706,-0.676796929089658,0.193,0.226,1,"ENSG00000143727-ACP1",1.09595008189344
0.0811640950429269,-0.359527890928058,0.195,0.15,1,"ENSG00000139679-LPAR6",1.09063604924736
0.0821690871549035,0.329901204657701,0.145,0.111,1,"ENSG00000205302-SNX2",1.08529153772871
0.0822553036118309,0.344568796077534,0.124,0.091,1,"ENSG00000188917-TRMT2B",1.08483609027654
0.0825782372339877,-0.271619291703943,0.21,0.17,1,"ENSG00000138688-KIAA1109",1.08313439208039
0.0830380642980258,0.270089324678171,0.134,0.098,1,"ENSG00000105397-TYK2",1.08072278322496
0.0834782056705256,-0.442188663771997,0.109,0.143,1,"ENSG00000009780-FAM76A",1.07842689448637
0.0850551727208401,-0.295398350835982,0.122,0.157,1,"ENSG00000115541-HSPE1",1.07029926916717
0.0897054369095933,0.401836158156455,0.122,0.091,1,"ENSG00000163539-CLASP2",1.04718123423262
0.0909301037489504,-0.304022405643787,0.334,0.273,1,"ENSG00000182670-TTC3",1.0412923133934
0.0924499464082598,0.370564936607303,0.112,0.081,1,"ENSG00000139190-VAMP1",1.03409333625823
0.0927924657917415,0.311006495566481,0.126,0.093,1,"ENSG00000136100-VPS36",1.03248728453442
0.0934033737481419,0.323006759608665,0.131,0.093,1,"ENSG00000073921-PICALM",1.0296374366849
0.0936310011538515,-0.260137122548937,0.129,0.165,1,"ENSG00000108671-PSMD11",1.02858033287615
0.0948348331981056,-0.409459269209973,0.129,0.165,1,"ENSG00000010256-UQCRC1",1.02303211532942
0.0959678952280501,-0.280049454193072,0.074,0.103,1,"ENSG00000159199-ATP5G1",1.01787403005678
0.0978849826617725,0.424034094265914,0.129,0.096,1,"ENSG00000004700-RECQL",1.00928393176573
0.101633169227688,-0.331704411805758,0.21,0.243,1,"ENSG00000101126-ADNP",0.992964531602893
0.103564132204544,-0.350803304077347,0.162,0.12,1,"ENSG00000130779-CLIP1",0.984790629559791
0.103747374071428,-0.541965707323311,0.15,0.184,1,"ENSG00000163956-LRPAP1",0.984022886815591
0.105500703123848,-0.502035975129053,0.136,0.167,1,"ENSG00000142507-PSMB6",0.976744645941741
0.106459667206153,0.330862447927737,0.174,0.138,1,"ENSG00000160271-RALGDS",0.972814895769476
0.109369358219127,-0.289606104195302,0.208,0.246,1,"ENSG00000112514-CUTA",0.961104336323885
0.113615457952779,0.274860515445988,0.177,0.14,1,"ENSG00000170633-RNF34",0.944562576662999
0.117097149189313,-0.289971858947824,0.083,0.111,1,"ENSG00000141644-MBD1",0.93145367799699
0.11964361589096,-0.295926528918254,0.167,0.125,1,"ENSG00000143543-JTB",0.922110470116138
0.119656178803715,-0.334961463059978,0.096,0.125,1,"ENSG00000125868-DSTN",0.922064870380475
