"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.0150462235785077,0.451198977817647,0.316,0.235,1,"ENSG00000124126-PREX1",1.82257248909461
0.0154659967870485,0.477574855996576,0.118,0.062,1,"ENSG00000131844-MCCC2",1.81062208437957
0.0155924564851265,0.377608244183212,0.254,0.176,1,"ENSG00000114423-CBLB",1.80708545928875
0.0159634839455344,-0.403937340022501,0.129,0.198,1,"ENSG00000001461-NIPAL3",1.79687232017825
0.0162851310076873,0.268933380349522,0.195,0.118,1,"ENSG00000131788-PIAS3",1.78820874335107
0.0165484176783223,0.555678284464273,0.154,0.09,1,"ENSG00000103222-ABCC1",1.78124352614362
0.0167009511402961,-0.347779488471036,0.14,0.211,1,"ENSG00000117318-ID3",1.77725879452791
0.0170441000123198,0.522478036524128,0.11,0.056,1,"ENSG00000072121-ZFYVE26",1.76842592608675
0.0171338753644755,0.325437455747245,0.125,0.068,1,"ENSG00000145817-YIPF5",1.76614439657591
0.0172016826026955,0.471365266605918,0.158,0.093,1,"ENSG00000226380-MIR29A",1.76442906999214
0.0172220672143005,0.402681559664722,0.125,0.068,1,"ENSG00000144504-ANKMY1",1.76391472013673
0.0172224599731514,0.333267030691853,0.217,0.142,1,"ENSG00000112343-TRIM38",1.76390481592171
0.0172571469637025,-0.510542512722819,0.11,0.18,1,"ENSG00000196954-CASP4",1.76303100238318
0.0176396429188089,0.306128884328181,0.268,0.189,1,"ENSG00000168685-IL7R",1.75351021058518
0.0176712298416062,0.32320594067867,0.114,0.059,1,"ENSG00000142657-PGD",1.75273322441306
0.017695378355831,0.255994476436628,0.154,0.09,1,"ENSG00000048405-ZNF800",1.75214014700822
0.0179155466888953,0.437543102303805,0.14,0.08,1,"ENSG00000100330-MTMR3",1.74676993489681
0.0179178603779643,0.316836869477677,0.206,0.133,1,"ENSG00000115241-PPM1G",1.74671385190168
0.0182494639555207,0.270198736660009,0.103,0.053,1,"ENSG00000042429-MED17",1.73874988762276
0.0183888895236198,0.40719562024508,0.224,0.152,1,"ENSG00000072364-AFF4",1.73544449633701
0.018623417837635,0.265210770082609,0.265,0.18,1,"ENSG00000161547-SRSF2",1.72994061273115
0.0188584887023563,-0.554333856674367,0.221,0.297,1,"ENSG00000154945-ANKRD40",1.7244931140656
0.019168569993621,0.389931616579579,0.11,0.059,1,"ENSG00000163029-SMC6",1.71741028498549
0.01919156884082,-0.315835000578955,0.772,0.74,1,"ENSG00000147604-RPL7",1.71688952182201
0.0196328771487932,0.327968127874875,0.147,0.087,1,"ENSG00000255112-CHMP1B",1.70701605097145
0.0197656853792636,-0.355770214419594,0.713,0.734,1,"ENSG00000198668-CALM1",1.70408812180816
0.0198830931394776,0.27230035749553,0.151,0.09,1,"ENSG00000175634-RPS6KB2",1.70151605309199
0.0199102348873669,0.360535614603505,0.412,0.325,1,"ENSG00000047849-MAP4",1.70092361643238
0.0200702329743076,0.344224406405448,0.129,0.071,1,"ENSG00000124198-ARFGEF2",1.69744758621361
0.0201428644670169,0.309867723013865,0.232,0.155,1,"ENSG00000170004-CHD3",1.69587876944476
0.020176621272523,0.259949956754962,0.224,0.152,1,"ENSG00000180370-PAK2",1.69515155789855
0.0202220118440284,0.365952413479371,0.195,0.127,1,"ENSG00000070882-OSBPL3",1.69417563958104
0.0204654520528082,0.466593534969304,0.103,0.053,1,"ENSG00000174652-ZNF266",1.68897865796365
0.0206342921191993,0.300932984375881,0.21,0.136,1,"ENSG00000031698-SARS",1.68541042545382
0.0210532501602385,-0.458627460982027,0.191,0.257,1,"ENSG00000163486-SRGAP2",1.67668084910637
0.0213346212849495,0.309609430702321,0.235,0.161,1,"ENSG00000167984-NLRC3",1.67091506198285
0.021527647318047,0.302540430926719,0.151,0.09,1,"ENSG00000101365-IDH3B",1.6670034301217
0.0216733445175862,0.368033646781643,0.11,0.059,1,"ENSG00000204054-LINC00963",1.66407406544737
0.0218810868070065,0.322964958446363,0.114,0.062,1,"ENSG00000115282-TTC31",1.65993111092344
0.0219370196310281,0.258181878039832,0.143,0.087,1,"ENSG00000179344-HLA-DQB1",1.65882237611046
0.0219878071853423,0.252177073849633,0.158,0.099,1,"ENSG00000100796-SMEK1",1.65781808008856
0.0223229830752004,-0.458119269407585,0.114,0.173,1,"ENSG00000150938-CRIM1",1.65124777001528
0.0224415864983685,0.459662403719752,0.173,0.108,1,"ENSG00000214176-PLEKHM1P",1.64894644406775
0.0226324248787773,0.283218241836819,0.184,0.121,1,"ENSG00000119638-NEK9",1.64526891245914
0.0227212001530524,0.265796576930723,0.331,0.238,1,"ENSG00000115053-NCL",1.64356873255247
0.022745667534995,0.37536616920048,0.125,0.071,1,"ENSG00000068912-ERLEC1",1.64310131306525
0.0229702154292503,0.385923543991678,0.125,0.071,1,"ENSG00000163866-SMIM12",1.63883493169675
0.0229952983595337,-0.581928377747274,0.493,0.548,1,"ENSG00000158604-TMED4",1.63836095116677
0.0235400272055729,0.263005277629963,0.125,0.071,1,"ENSG00000078589-P2RY10",1.62819303957146
0.0239270316548397,0.362949947022952,0.14,0.084,1,"ENSG00000174227-PIGG",1.62111117584892
0.0242038031442941,0.442873912388226,0.14,0.084,1,"ENSG00000071894-CPSF1",1.61611638795307
0.0242164660071922,0.352997793501991,0.217,0.142,1,"ENSG00000092148-HECTD1",1.61588923466774
0.0242784330369883,-0.368113783988255,0.346,0.412,1,"ENSG00000179912-R3HDM2",1.61477934664743
0.0243877512644637,-0.438722733513516,0.085,0.139,1,"ENSG00000254505-CHMP4A",1.61282824308352
0.0245966404954332,0.588487721659687,0.125,0.071,1,"ENSG00000173273-TNKS",1.609124206471
0.025005993284669,0.477443204085121,0.283,0.201,1,"ENSG00000102908-NFAT5",1.60195588978726
0.0256803988397603,0.255428109859674,0.21,0.146,1,"ENSG00000164691-TAGAP",1.59039823556572
0.0257468536622102,0.491417299152123,0.184,0.118,1,"ENSG00000102225-CDK16",1.58927583538505
0.0259150989917143,0.253674075961512,0.158,0.099,1,"ENSG00000065243-PKN2",1.58644712788279
0.0260176686376027,0.397177825044496,0.213,0.142,1,"ENSG00000065427-KARS",1.58473162180927
0.0260394893262791,-0.709285479899448,0.114,0.173,1,"ENSG00000203880-PCMTD2",1.58436753719116
0.0266595850581314,0.31564368102035,0.107,0.059,1,"ENSG00000163312-HELQ",1.57414661442577
0.0267175830093084,0.279380321714337,0.154,0.096,1,"ENSG00000015676-NUDCD3",1.57320283261859
0.0273502563217687,0.417481745946089,0.103,0.056,1,"ENSG00000004777-ARHGAP33",1.56303859918035
0.0275550564549527,0.289942344359656,0.346,0.26,1,"ENSG00000109920-FNBP4",1.55979869485265
0.0279065463914994,0.542904355282738,0.121,0.071,1,"ENSG00000128272-ATF4",1.55429390682633
0.0280373398005929,0.384250064242011,0.158,0.099,1,"ENSG00000122417-ODF2L",1.55226319486835
0.0288004175999883,0.258586210934535,0.298,0.223,1,"ENSG00000138641-HERC3",1.54060121501661
0.0289621049767696,-0.37302362903943,0.349,0.421,1,"ENSG00000213443-RP11-75L1.2",1.53816987664018
0.0292101204506036,0.351842172090516,0.103,0.056,1,"ENSG00000229474-PATL2",1.53446665216974
0.0293523996089114,-0.862540287229812,0.353,0.223,1,"ENSG00000170323-FABP4",1.53235638864773
0.0293982192609875,0.383892873032198,0.305,0.232,1,"ENSG00000162645-GBP2",1.5316789753208
0.0295565604662079,0.265887454360893,0.276,0.207,1,"ENSG00000149311-ATM",1.5293461067271
0.0297311511285459,0.255763868193519,0.173,0.111,1,"ENSG00000072958-AP1M1",1.52678827548739
0.0301296043065529,-0.947096751221374,0.364,0.235,1,"ENSG00000175899-A2M",1.52100657189813
0.0306681134892354,-0.731541217277495,0.592,0.638,1,"ENSG00000150867-PIP4K2A",1.51331293827946
0.0309592178441931,0.353016265216041,0.125,0.074,1,"ENSG00000172794-RAB37",1.50921001989618
0.0312009092761145,0.326313104827967,0.21,0.142,1,"ENSG00000026103-FAS",1.50583274931986
0.0313533685375189,0.286201866349433,0.162,0.102,1,"ENSG00000105810-CDK6",1.50371579267485
0.0314184376525041,0.307547062349963,0.202,0.139,1,"ENSG00000158987-RAPGEF6",1.50281541496016
0.0315022593089899,0.899668813025134,0.129,0.077,1,"ENSG00000121851-POLR3GL",1.50165829794878
0.0316066045905201,0.543594829436144,0.173,0.118,1,"ENSG00000105701-FKBP8",1.5002221567009
0.031675229255397,-0.725428074333958,0.118,0.167,1,"ENSG00000147862-NFIB",1.49928023314559
0.0319767510553421,0.27321924985969,0.114,0.065,1,"ENSG00000177674-AGTRAP",1.49516566411748
0.0323452697395172,-0.454783977937042,0.147,0.084,1,"ENSG00000125810-CD93",1.49018922276138
0.0324551135067955,0.31287239533446,0.129,0.077,1,"ENSG00000132912-DCTN4",1.48871686765168
0.0325213185286026,0.282268740209266,0.239,0.161,1,"ENSG00000007392-LUC7L",1.48783185489568
0.0325601930195649,0.257426496342122,0.335,0.26,1,"ENSG00000140575-IQGAP1",1.48731302924096
0.0330545923842047,-0.514946453953262,0.125,0.186,1,"ENSG00000175376-EIF1AD",1.48076819401299
0.0332819148058351,0.35191881974753,0.121,0.071,1,"ENSG00000174282-ZBTB4",1.47779169543162
0.0333708788778455,0.722598721664812,0.21,0.149,1,"ENSG00000204389-HSPA1A",1.47663235532386
0.0336609377027862,0.384840727692814,0.206,0.142,1,"ENSG00000156256-USP16",1.4728737899207
0.0343924096431499,-0.316170742292378,0.059,0.108,1,"ENSG00000076555-ACACB",1.4635373950398
0.0344001556028021,-0.8516615010459,0.368,0.238,1,"ENSG00000135218-CD36",1.4634395929725
0.0345642125952953,0.260731407822245,0.114,0.065,1,"ENSG00000184216-IRAK1",1.4613733322985
0.0345949179767058,0.403734227291072,0.055,0.102,1,"ENSG00000187630-DHRS4L2",1.46098769475571
0.0348011163406994,0.255164478104856,0.154,0.099,1,"ENSG00000139687-RB1",1.45840682465027
0.0349055957130494,0.302145160262689,0.173,0.108,1,"ENSG00000165795-NDRG2",1.45710494574862
0.0350053984905232,0.290716217658145,0.125,0.074,1,"ENSG00000145041-VPRBP",1.45586497411116
0.0352432746516564,-0.256148250631455,0.07,0.124,1,"ENSG00000263753-LINC00667",1.45292374563252
0.0353831458262566,0.500234021445181,0.129,0.077,1,"ENSG00000125124-BBS2",1.45120355768268
0.0356067577357666,0.285833261317376,0.151,0.096,1,"ENSG00000167766-ZNF83",1.44846757031823
0.0359231062162636,-0.385480475283959,0.474,0.368,1,"ENSG00000198160-MIER1",1.4446261175989
0.0367318990763117,-0.42220968662366,0.276,0.18,1,"ENSG00000100234-TIMP3",1.43495661761054
0.037425148186412,0.292321968284361,0.21,0.139,1,"ENSG00000090006-LTBP4",1.42683647137466
0.0377769312262844,0.434931344992867,0.114,0.065,1,"ENSG00000171603-CLSTN1",1.42277332448782
0.0386327040578313,-0.480639850848198,0.191,0.248,1,"ENSG00000197912-SPG7",1.41304489277946
0.0392019181982114,-0.80059464491404,0.298,0.353,1,"ENSG00000156030-ELMSAN1",1.40669268189493
0.0393284390297795,-0.523414863632323,0.511,0.567,1,"ENSG00000088448-ANKRD10",1.40529329066644
0.0394219838808455,-0.284263451080707,0.261,0.167,1,"ENSG00000085733-CTTN",1.40426152397276
0.0394946791423817,0.260296098020351,0.125,0.074,1,"ENSG00000139318-DUSP6",1.40346141006357
0.039948593394044,0.602096462086998,0.257,0.189,1,"ENSG00000172965-MIR4435-1HG",1.39849850776324
0.0399536152454424,-0.380426037149289,0.199,0.266,1,"ENSG00000196329-GIMAP5",1.39844391697304
0.0404386677158951,0.267591970893787,0.151,0.093,1,"ENSG00000141646-SMAD4",1.39320316102283
0.0404542746787732,-0.376866631146558,0.11,0.062,1,"ENSG00000146282-RARS2",1.39303558106491
0.0416571716709399,0.288960038400344,0.162,0.105,1,"ENSG00000114353-GNAI2",1.38031021997161
0.0416583048380249,0.518499400254231,0.143,0.09,1,"ENSG00000129315-CCNT1",1.38029840636307
0.041962059347261,0.45721894465425,0.217,0.155,1,"ENSG00000089053-ANAPC5",1.37714320634108
0.0425597845743749,0.306214497938039,0.232,0.158,1,"ENSG00000100991-TRPC4AP",1.37100057898362
0.0428951381516714,0.451644247363263,0.11,0.065,1,"ENSG00000197714-ZNF460",1.3675919291103
0.0434827381479339,-0.267905252180384,0.121,0.071,1,"ENSG00000242125-SNHG3",1.36168311580248
0.0436822321549232,0.521329901112006,0.14,0.09,1,"ENSG00000055130-CUL1",1.35969517735925
0.0439506414010392,-0.432826401688184,0.169,0.108,1,"ENSG00000253882-RP11-61L23.2",1.35703478259477
0.0453331166093383,0.306568390455763,0.103,0.059,1,"ENSG00000066135-KDM4A",1.34358442257577
0.0454679563338536,0.359704731753005,0.118,0.071,1,"ENSG00000253719-ATXN7L3B",1.34229456576139
0.0455167260696369,0.762326487488396,0.14,0.087,1,"ENSG00000120451-SNX19",1.34182898345449
0.0458284446847555,0.283065286628606,0.195,0.136,1,"ENSG00000166579-NDEL1",1.33886488149163
0.0465740478188321,-0.596318829474122,0.265,0.328,1,"ENSG00000154473-BUB3",1.33185601525629
0.0471165511619522,0.257324245227965,0.327,0.263,1,"ENSG00000147140-NONO",1.32682650655182
0.0473604196504833,0.438707860428876,0.158,0.105,1,"ENSG00000119778-ATAD2B",1.32458445807817
0.0474550738109355,0.328422780616624,0.195,0.139,1,"ENSG00000203875-SNHG5",1.32371734677117
0.0485300761337304,-0.429106214762631,0.232,0.161,1,"ENSG00000151883-PARP8",1.31398902736526
